timestamp_iso,session_id,event,mode,mapId,success,details,x,y,z,tap_id,anchor_id,screen_x,screen_y,latency_ms,hit_type,trackable_type,trackable_id,earth_state,earth_tracking,earth_hacc_m,earth_vacc_m,earth_headacc_deg
2026-03-10T13:19:26.4817470+05:30,f176bd51efcf464bbc9311fe4bd1b5b6,SessionStart,,,,samsung SM-A556E,,,,,,,,,,,,,,,,
2026-03-10T13:19:26.4819730+05:30,f176bd51efcf464bbc9311fe4bd1b5b6,EnterIndoorMode,Explorer,,,OpenMapList,,,,,,,,,,,,,,,,
2026-03-10T13:19:27.2071210+05:30,f176bd51efcf464bbc9311fe4bd1b5b6,IndoorMapSelected,Explorer,cdis_lab,,UserSelectedMap,,,,,,,,,,,,,,,,
2026-03-10T13:19:27.2075920+05:30,f176bd51efcf464bbc9311fe4bd1b5b6,IndoorLocalizationStart,Explorer,cdis_lab,,ShowIndoorWaitPanel,,,,,,,,,,,,,,,,
2026-03-10T13:19:33.2065460+05:30,f176bd51efcf464bbc9311fe4bd1b5b6,IndoorLocalizationResult,Explorer,cdis_lab,success,MultiSet callback,,,,,,,,,,,,,,,,
2026-03-10T13:22:26.6028100+05:30,cf7ff4f6ee0946f2b876750c4e104a10,SessionStart,,,,samsung SM-A556E,,,,,,,,,,,,,,,,
2026-03-10T13:22:26.6043990+05:30,cf7ff4f6ee0946f2b876750c4e104a10,EnterIndoorMode,Explorer,,,OpenMapList,,,,,,,,,,,,,,,,
2026-03-10T13:22:27.2684660+05:30,cf7ff4f6ee0946f2b876750c4e104a10,IndoorMapSelected,Explorer,cdis_lab,,UserSelectedMap,,,,,,,,,,,,,,,,
2026-03-10T13:22:27.2689490+05:30,cf7ff4f6ee0946f2b876750c4e104a10,IndoorLocalizationStart,Explorer,cdis_lab,,ShowIndoorWaitPanel,,,,,,,,,,,,,,,,
2026-03-10T13:22:35.2015730+05:30,cf7ff4f6ee0946f2b876750c4e104a10,IndoorLocalizationResult,Explorer,cdis_lab,success,MultiSet callback,,,,,,,,,,,,,,,,
2026-03-10T13:33:05.9612740+05:30,3cb76df116064a7280f2aa87610a8eca,SessionStart,,,,samsung SM-A556E,,,,,,,,,,,,,,,,
2026-03-10T13:33:05.9643780+05:30,3cb76df116064a7280f2aa87610a8eca,EnterIndoorMode,Contributor,,,OpenMapList,,,,,,,,,,,,,,,,
2026-03-10T13:33:07.3991130+05:30,3cb76df116064a7280f2aa87610a8eca,IndoorMapSelected,Contributor,cdis_lab,,UserSelectedMap,,,,,,,,,,,,,,,,
2026-03-10T13:33:07.3997970+05:30,3cb76df116064a7280f2aa87610a8eca,IndoorLocalizationStart,Contributor,cdis_lab,,ShowIndoorWaitPanel,,,,,,,,,,,,,,,,
2026-03-10T13:33:12.7476990+05:30,3cb76df116064a7280f2aa87610a8eca,IndoorLocalizationResult,Contributor,cdis_lab,success,MultiSet callback,,,,,,,,,,,,,,,,
2026-03-10T13:33:21.8699670+05:30,3cb76df116064a7280f2aa87610a8eca,TapAttempt,Indoor,cdis_lab,,UserTap,,,,bd9b2d8529f44b059ccff2d095489dd2,,666.00,1517.00,,,,,,,,,
2026-03-10T13:33:21.8818110+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorPlaced,Indoor,cdis_lab,success,PhysicsMesh,-7.387314,0.116780,-8.175081,bd9b2d8529f44b059ccff2d095489dd2,09bd9af0adb44be280bd8e1433faab15,666.00,1517.00,11.4,PhysicsMesh,PhysicsMesh,,,,,,
2026-03-10T13:33:23.0764450+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:25.1098030+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:27.1083020+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:29.1475660+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:31.1458350+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:33.1499810+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:33.2759650+05:30,3cb76df116064a7280f2aa87610a8eca,TapRejected,Indoor,cdis_lab,failure,InfoUIOpen,,,,89a99a77ab144e228e84005e646cb611,,761.00,1311.00,,,,,,,,,
2026-03-10T13:33:35.1486340+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:37.1453040+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:39.1815390+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:41.2124270+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:43.2181580+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:45.2157540+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:47.2262340+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:49.2119950+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:51.2140020+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:53.2132780+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:55.2136350+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:57.2163080+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:33:59.2138020+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:01.2188230+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:03.2661930+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:05.2503220+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:07.2624840+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:09.2767810+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:11.2917810+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
2026-03-10T13:34:13.3659250+05:30,3cb76df116064a7280f2aa87610a8eca,AnchorDrift,Indoor,cdis_lab,,drift_world_m=0.000;drift_map_m=0.000,-5.486300,0.227188,10.271970,,09bd9af0adb44be280bd8e1433faab15,,,,,,,,,,,
